player_id,fpl_full_name,fpl_team,understat_id,understat_name,understat_score,needs_review_understat,review_reason_understat,fbref_id,fbref_name,fbref_score,needs_review_fbref,review_reason_fbref,needs_review
1,David Raya Martín,Arsenal,9676,David Raya,90.0,False,,David Raya,David Raya,90.0,False,,False
2,Kepa Arrizabalaga Revuelta,Arsenal,5061,Kepa,90.0,False,,Kepa Arrizabalaga,Kepa Arrizabalaga,90.0,False,,False
3,Karl Hein,Arsenal,5061,Kepa,60.00000000000001,True,low name-match confidence,Mikel Merino,Mikel Merino,57.14285714285714,True,low name-match confidence,True
4,Tommy Setford,Arsenal,11132,Ethan Nwaneri,44.44444444444444,True,low name-match confidence,Ethan Nwaneri,Ethan Nwaneri,44.44444444444444,True,low name-match confidence,True
5,Gabriel dos Santos Magalhães,Arsenal,5613,Gabriel,90.0,False,,Gabriel Magalhães,Gabriel Magalhães,85.5,False,,False
6,William Saliba,Arsenal,6888,William Saliba,100.0,False,,William Saliba,William Saliba,100.0,False,,False
7,Riccardo Calafiori,Arsenal,8129,Riccardo Calafiori,100.0,False,,Riccardo Calafiori,Riccardo Calafiori,100.0,False,,False
8,Jurriën Timber,Arsenal,11707,Jurriën Timber,100.0,False,,Jurriën Timber,Jurriën Timber,100.0,False,,False
9,Jakub Kiwior,Arsenal,8129,Riccardo Calafiori,40.0,True,low name-match confidence,Riccardo Calafiori,Riccardo Calafiori,40.0,True,low name-match confidence,True
10,Myles Lewis-Skelly,Arsenal,12272,Myles Lewis-Skelly,100.0,False,,Myles Lewis-Skelly,Myles Lewis-Skelly,100.0,False,,False
11,Benjamin White,Arsenal,7298,Ben White,100.0,False,,Ben White,Ben White,100.0,False,,False
13,Brayden Clarke,Arsenal,5061,Kepa,60.00000000000001,True,low name-match confidence,Declan Rice,Declan Rice,56.00000000000001,True,low name-match confidence,True
14,Maldini Kacurri,Arsenal,5061,Kepa,57.0,True,low name-match confidence,Gabriel Martinelli,Gabriel Martinelli,51.81818181818182,True,low name-match confidence,True
15,Josh Nichols,Arsenal,10024,Cristhian Mosquera,37.5,True,low name-match confidence,Cristhian Mosquera,Cristhian Mosquera,37.5,True,low name-match confidence,True
16,Bukayo Saka,Arsenal,7322,Bukayo Saka,100.0,False,,Bukayo Saka,Bukayo Saka,100.0,False,,False
17,Martin Ødegaard,Arsenal,2517,Martin Odegaard,96.55172413793103,False,,Martin Ødegaard,Martin Ødegaard,100.0,False,,False
18,Noni Madueke,Arsenal,11357,Noni Madueke,100.0,False,,Noni Madueke,Noni Madueke,100.0,False,,False
19,Gabriel Martinelli Silva,Arsenal,7752,Gabriel Martinelli,95.0,False,,Gabriel Martinelli,Gabriel Martinelli,95.0,False,,False
20,Leandro Trossard,Arsenal,7698,Leandro Trossard,100.0,False,,Leandro Trossard,Leandro Trossard,100.0,False,,False
21,Declan Rice,Arsenal,5553,Declan Rice,100.0,False,,Declan Rice,Declan Rice,100.0,False,,False
22,Mikel Merino Zazón,Arsenal,5304,Mikel Merino,90.0,False,,Mikel Merino,Mikel Merino,90.0,False,,False
23,Fábio Ferreira Vieira,Arsenal,5613,Gabriel,51.42857142857142,True,low name-match confidence,David Raya,David Raya,50.0,True,low name-match confidence,True
24,Christian Nørgaard,Arsenal,7083,Christian Nørgaard,100.0,False,,Christian Nørgaard,Christian Nørgaard,100.0,False,,False
25,Ethan Nwaneri,Arsenal,11132,Ethan Nwaneri,100.0,False,,Ethan Nwaneri,Ethan Nwaneri,100.0,False,,False
26,Martín Zubimendi Ibáñez,Arsenal,7526,Martín Zubimendi,95.0,False,,Martín Zubimendi,Martín Zubimendi,95.0,False,,False
28,Ismeal Kabia,Arsenal,5613,Gabriel,49.090909090909086,True,low name-match confidence,William Saliba,William Saliba,46.15384615384615,True,low name-match confidence,True
29,Albert Sambi Lokonga,Arsenal,5613,Gabriel,51.42857142857142,True,low name-match confidence,Kai Havertz,Kai Havertz,48.857142857142854,True,low name-match confidence,True
30,Kai Havertz,Arsenal,5220,Kai Havertz,100.0,False,,Kai Havertz,Kai Havertz,100.0,False,,False
31,Gabriel Fernando de Jesus,Arsenal,5613,Gabriel,90.0,False,,Gabriel Jesus,Gabriel Jesus,85.5,False,,False
266,Eberechi Eze,Arsenal,8706,Eberechi Eze,100.0,False,,Eberechi Eze,Eberechi Eze,100.0,False,,False
662,Cristhian Mosquera,Arsenal,10024,Cristhian Mosquera,100.0,False,,Cristhian Mosquera,Cristhian Mosquera,100.0,False,,False
666,Viktor Gyökeres,Arsenal,7254,Viktor Gyokeres,100.0,False,,Viktor Gyökeres,Viktor Gyökeres,100.0,False,,False
700,Max Dowman,Arsenal,13872,Max Dowman,100.0,False,,Max Dowman,Max Dowman,100.0,False,,False
711,Andre Harriman-Annous,Arsenal,5553,Declan Rice,45.0,True,low name-match confidence,Declan Rice,Declan Rice,45.0,True,low name-match confidence,True
725,Piero Hincapié,Arsenal,9911,Piero Hincapié,100.0,False,,Piero Hincapié,Piero Hincapié,100.0,False,,False
759,Marli Salmon,Arsenal,7526,Martín Zubimendi,50.0,True,low name-match confidence,Martín Zubimendi,Martín Zubimendi,50.0,True,low name-match confidence,True
32,Emiliano Martínez Romero,Aston Villa,4401,Emiliano Martinez,95.0,False,,Emiliano Martínez,Emiliano Martínez,95.0,False,,False
